 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
 351         76.60905          1.24580          5.04351          0.40135          0.80270          1.54439
 352         76.62745          1.24554          5.04454          0.40143          0.80286          1.54439
 353         76.70355          1.24450          5.04878          0.40177          0.80354          1.54439
 354         76.75095          1.24076          5.06397          0.40298          0.80596          1.54056
 355         76.78835          1.24333          5.05350          0.40214          0.80429          1.54439
 356         76.97675          1.24076          5.06398          0.40298          0.80596          1.54439
 357         77.12865          1.23563          5.08502          0.40465          0.80931          1.54056
 358         77.18875          1.23481          5.08837          0.40492          0.80984          1.54056
 359         77.19565          1.23472          5.08875          0.40495          0.80990          1.54056
 360         77.20555          1.23459          5.08930          0.40499          0.80999          1.54056
 361         77.28945          1.23346          5.09397          0.40537          0.81073          1.54056
 362         77.35595          1.23563          5.08502          0.40465          0.80931          1.54439
 363         77.41625          1.23481          5.08837          0.40492          0.80984          1.54439
 364         77.42325          1.23472          5.08875          0.40495          0.80990          1.54439
 365         77.43315          1.23459          5.08930          0.40499          0.80999          1.54439
 366         77.51745          1.23346          5.09397          0.40537          0.81073          1.54439
 367         77.58255          1.22953          5.11025          0.40666          0.81332          1.54056
 368         77.58855          1.22945          5.11058          0.40669          0.81337          1.54056
 369         77.81165          1.22953          5.11025          0.40666          0.81332          1.54439
 370         77.81775          1.22945          5.11058          0.40669          0.81337          1.54439
 371         77.92565          1.22497          5.12926          0.40817          0.81635          1.54056
 372         78.15615          1.22497          5.12926          0.40817          0.81635          1.54439
 373         78.86535          1.21271          5.18110          0.41230          0.82460          1.54056
 374         78.94315          1.21171          5.18538          0.41264          0.82528          1.54056
 375         78.98965          1.21112          5.18793          0.41284          0.82568          1.54056
 376         79.09975          1.21271          5.18110          0.41230          0.82460          1.54439
 377         79.17795          1.21171          5.18538          0.41264          0.82528          1.54439
 378         79.22465          1.21112          5.18793          0.41284          0.82568          1.54439
 379         79.36205          1.20637          5.20836          0.41447          0.82894          1.54056
 380         79.59865          1.20636          5.20836          0.41447          0.82894          1.54439
 381         79.60705          1.20327          5.22177          0.41554          0.83107          1.54056
 382         79.61505          1.20317          5.22221          0.41557          0.83114          1.54056
 383         79.83885          1.20036          5.23444          0.41654          0.83309          1.54056
 384         79.84465          1.20327          5.22177          0.41554          0.83107          1.54439
 385         79.85265          1.20317          5.22221          0.41557          0.83114          1.54439
 386         79.95955          1.19885          5.24102          0.41707          0.83413          1.54056
 387         80.05875          1.19761          5.24643          0.41750          0.83500          1.54056
 388         80.07745          1.20036          5.23444          0.41654          0.83309          1.54439
 389         80.12655          1.19677          5.25013          0.41779          0.83558          1.54056
 390         80.19865          1.19885          5.24102          0.41707          0.83413          1.54439
 391         80.21825          1.19563          5.25512          0.41819          0.83638          1.54056
 392         80.29385          1.19470          5.25923          0.41852          0.83703          1.54056
 393         80.29825          1.19761          5.24643          0.41750          0.83500          1.54439
 394         80.36635          1.19677          5.25013          0.41779          0.83558          1.54439
 395         80.45845          1.19563          5.25512          0.41819          0.83638          1.54439
 396         80.53095          1.19177          5.27212          0.41954          0.83908          1.54056
 397         80.53435          1.19470          5.25923          0.41852          0.83703          1.54439
 398         80.59565          1.19098          5.27564          0.41982          0.83964          1.54056
 399         80.63745          1.19047          5.27791          0.42000          0.84000          1.54056
 400         80.63735          1.19047          5.27790          0.42000          0.84000          1.54056
 401         80.77245          1.19178          5.27212          0.41954          0.83908          1.54439
 402         80.83745          1.19098          5.27564          0.41982          0.83964          1.54439
 403         80.86845          1.18765          5.29043          0.42100          0.84200          1.54056
 404         80.87945          1.19047          5.27791          0.42000          0.84001          1.54439
 405         80.87935          1.19047          5.27790          0.42000          0.84000          1.54439
 406         80.92065          1.18702          5.29326          0.42122          0.84245          1.54056
 407         81.01015          1.18593          5.29811          0.42161          0.84322          1.54056
 408         81.11145          1.18765          5.29043          0.42100          0.84200          1.54439
 409         81.12135          1.18459          5.30412          0.42209          0.84418          1.54056
 410         81.16385          1.18702          5.29326          0.42122          0.84245          1.54439
 411         81.24575          1.18309          5.31085          0.42262          0.84525          1.54056
 412         81.25365          1.18593          5.29810          0.42161          0.84322          1.54439
